Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.5408717366844625,0.4475283220435714,0.5717548382155344,0.438255911684328,0.5955971739233881,0
0.1110956972455216,0.0469388273887527,0.0964646818601001,0.0806818347934914,0.0693157353759977,0
0.0132117805833777,0.0659231851302557,0.0761869183097152,0.023602075036607,0.0593158756260915,0
-0.0077142875975526,0.0151831907003572,0.0542854145994017,0.0426269713039772,0.0250047416404593,1
0.0043013497778137,0.0115558935657362,0.0425963154002475,0.0204468598820507,0.0480724872588525,0
0.0039710674855988,0.0052402959504267,0.0354373424602671,0.0236602645133891,0.031053908351655,1
0.0232688464076497,0.019702452582003,-0.0114733158035709,0.003255515538379,0.0163813637549864,2
-0.0069397558677911,-0.0016930494922218,0.0144385009032512,0.0033197132067103,0.0207711442685211,2
-0.0049960235618874,0.0048658404786637,0.01200338635993,-0.0053455462249109,0.0152815744722046,4
-0.0031650507516765,-0.0057369983629617,0.0184265408087761,0.0076656228618393,0.0005360423682229,3
0.0014569512497315,-0.0011753043709326,0.005393584724213,0.0040639588659325,0.0035514164935058,2
0.00025826269143,0.0074301257363902,0.0022700533840159,0.0011825947480718,0.0001939790026501,2
-0.0008669501762975,-0.0014942056593791,-0.0015364052931078,0.0046115129741543,0.0058236207396575,4
-0.0067921236546016,0.0111107620882988,-0.016107509621351,-0.0012621598700069,0.0185051155796187,5
0.0075052238254124,-0.0027630633854549,0.0015800743492372,0.0086317504712755,-0.0095068130944564,2
0.0,0.0,0.0,0.0003925651916237,0.0,4
0.0,6.110947693620528e-05,0.0,0.0002771597330201,0.0,4
0.0101605840433939,-0.0078156072813579,0.003001641517519,-0.0043028192822606,-0.0009097624319517,3
