feature,weight
intercept,1.2252488360699603e-16
총세대수,4.534877320663309
준공연도,0.09687503892973723
건물형태,-0.13884181132183696
난방방식,0.056419690982200725
승강기설치여부,0.07819275053914279
총면적,0.6243349725702659
면적17_26,-1.2928038313567594
면적26_38,-2.325310794002402
면적38_46,-2.032034552576246
면적46_51,-1.8004923514820057
면적51_59,-2.4493207502893073
면적59_74,-1.4382905993530182
면적74_85,-1.121145909744724
면적85_127,-0.04648992572182776
면적127_139,-0.046489925721727395
임대보증금,0.07896247030398339
임대료,-0.19551068241108002
