feature,weight
intercept,1.6403920149343278e-17
총세대수,0.14406291350321923
준공연도,0.07855235598950502
건물형태,-0.15093545590709265
난방방식,0.06310380904426673
승강기설치여부,0.10070094557548516
총면적,0.6938466858043819
면적17_26,-0.1153030202675265
면적26_38,-0.04872743995486941
면적38_46,-0.020384734097339704
면적46_51,-0.037970721484821085
면적51_59,-0.013623355204323317
면적59_74,0.030908781172564487
면적74_85,0.020240880418901135
면적85_127,-0.6713151945965472
면적127_139,0.7035067107723993
임대보증금,0.18986802034791045
임대료,-0.21664278395390518
