feature,shap_importance
임대보증금_multiply_총세대수,0.38483366959026527
총면적,0.22168841789416419
건물형태,0.06105130671859487
임대보증금,0.06091194485199209
면적74_85_sum_총면적,0.05473452156547478
준공연도,0.04359146808106648
면적59_74,0.04335479083994567
면적74_85,0.04330305869302675
난방방식,0.02918157125770843
총세대수,0.02616245953919954
면적46_51_sum_총면적,0.01979420344361007
면적51_59,0.016549484536920206
임대료,0.011798988337629173
면적85_127_sum_총면적,0.008707643408428858
면적46_51,0.004342962965338963
면적38_46,0.0035089843196185306
면적26_38,0.001959757813065047
총면적_sum_총세대수,0.0007857769365921768
총면적_diff_면적85_127,0.0
면적59_74_sum_총면적,0.0
총면적_diff_면적127_139,0.0
면적85_127,0.0
면적38_46_sum_총면적,0.0
면적127_139,0.0
면적17_26,0.0
승강기설치여부,0.0
총면적_diff_면적59_74,0.0
