feature,shap_importance
임대보증금_multiply_총세대수,0.4316209244985079
총면적,0.30448072822862765
면적74_85,0.05398565930649484
준공연도,0.041688999167426355
건물형태,0.04118476824236857
임대보증금,0.03511720455413593
면적46_51_sum_총면적,0.02656986941188492
면적59_74,0.022732602288561592
난방방식,0.021861232017940085
면적74_85_sum_총면적,0.02106218221546551
임대료,0.020494662411714035
면적85_127_sum_총면적,0.016689261751573935
총세대수,0.009166797475265314
면적51_59,0.006323552032240098
면적46_51,0.003953822083026399
총면적_sum_총세대수,0.002638178849756685
면적38_46,0.001238787549723569
면적26_38,0.0008730090370486467
총면적_diff_면적85_127,0.0
면적59_74_sum_총면적,0.0
총면적_diff_면적127_139,0.0
면적85_127,0.0
면적38_46_sum_총면적,0.0
면적127_139,0.0
면적17_26,0.0
승강기설치여부,0.0
총면적_diff_면적59_74,0.0
