feature,shap_importance
총면적,0.5934666452825609
임대보증금,0.13992449159275222
면적74_85,0.12453872432889634
총세대수,0.08053376639963238
준공연도,0.07029171922403359
건물형태,0.06486894859922528
면적51_59,0.038294509699439705
임대료,0.027606141391443375
면적46_51,0.023026427338503644
면적59_74,0.020428677297099997
면적38_46,0.017866259748156383
난방방식,0.010501543325644552
면적26_38,0.0029903673486302625
면적17_26,0.0
승강기설치여부,0.0
면적85_127,0.0
면적127_139,0.0
