feature,weight
intercept,-2.4553459604008656e-17
총세대수,2.1994144926458064
준공연도,0.08791268698714705
건물형태,-0.09739295096306619
난방방식,0.08295688941375923
승강기설치여부,0.03205760409463003
총면적,0.5946086012887961
면적17_26,-0.8064014964598698
면적26_38,-1.0092342519605115
면적38_46,-0.9353000069004017
면적46_51,-0.799312597995907
면적51_59,-1.0891948611902296
면적59_74,-0.5642794482200011
면적74_85,-0.6256062684386904
면적85_127,-0.4271885161215923
면적127_139,0.20999259894176378
임대보증금,0.11798556953459412
임대료,-0.14200117174133198
