name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Linear,Linear,rmse,217.82751702671783,11.19,0.05
2_Default_LightGBM,LightGBM,rmse,177.8342799251339,2.96,0.057
3_Default_Xgboost,Xgboost,rmse,193.66068422301748,4.5,0.068
4_Default_CatBoost,CatBoost,rmse,173.539744664209,12.25,0.023
5_Default_NeuralNetwork,Neural Network,rmse,201.40855174238416,2.61,0.05
6_Default_RandomForest,Random Forest,rmse,187.34664532701194,4.3,0.114
11_LightGBM,LightGBM,rmse,199.23995673990987,3.9,0.0565
7_Xgboost,Xgboost,rmse,189.91402097840052,3.05,0.052
15_CatBoost,CatBoost,rmse,181.09249690071522,24.74,0.024
19_RandomForest,Random Forest,rmse,175.6250902600561,6.38,0.1272
23_NeuralNetwork,Neural Network,rmse,200.88534370089104,2.68,0.048
12_LightGBM,LightGBM,rmse,183.66686297768027,3.03,0.057
8_Xgboost,Xgboost,rmse,197.21323937276676,3.23,0.057
16_CatBoost,CatBoost,rmse,180.61031545375442,20.66,0.023
20_RandomForest,Random Forest,rmse,218.1796878366952,5.77,0.114
24_NeuralNetwork,Neural Network,rmse,201.16912329340488,2.79,0.0495
13_LightGBM,LightGBM,rmse,174.93193665562177,3.19,0.057
9_Xgboost,Xgboost,rmse,175.33118440596428,3.36,0.053
17_CatBoost,CatBoost,rmse,178.57708691883477,14.6,0.022
21_RandomForest,Random Forest,rmse,196.91596466900728,4.52,0.117
25_NeuralNetwork,Neural Network,rmse,229.1619072299035,2.92,0.051
14_LightGBM,LightGBM,rmse,180.54904859238235,3.23,0.056
10_Xgboost,Xgboost,rmse,228.5632547524077,3.43,0.058
18_CatBoost,CatBoost,rmse,192.64986475383049,16.6,0.022
22_RandomForest,Random Forest,rmse,213.70219374167797,4.71,0.1136
26_NeuralNetwork,Neural Network,rmse,194.69884060922388,2.99,0.049
4_Default_CatBoost_GoldenFeatures,CatBoost,rmse,173.0645833880373,12.27,0.0402
13_LightGBM_GoldenFeatures,LightGBM,rmse,169.49659205191136,3.6,0.0955
9_Xgboost_GoldenFeatures,Xgboost,rmse,173.0353313619454,3.6,0.073
13_LightGBM_GoldenFeatures_RandomFeature,LightGBM,rmse,165.17448134586218,4.07,0.095
13_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,rmse,163.56185755265278,3.17,0.0615
