feature,weight
intercept,1.8510936978814407e-15
총세대수,0.283462956727221
준공연도,0.12620329150178292
건물형태,-0.15026130763565673
난방방식,0.07910194302571463
승강기설치여부,0.08417507416245516
총면적,0.9923580806505893
면적17_26,-0.2508789282146682
면적26_38,-0.23980820414830836
면적38_46,-0.21710343977096086
면적46_51,-0.20426784897676292
면적51_59,-0.2714927353050794
면적59_74,-0.06714700842654407
면적74_85,-0.189994181652853
면적85_127,-0.3303657520528078
면적127_139,0.20705066633448518
임대보증금,0.21117300265734795
임대료,-0.2540435810950113
