feature,weight
intercept,1.1198632656784387e-15
총세대수,2.3871843604014047
준공연도,0.08220388422544203
건물형태,-0.1227867631516145
난방방식,0.08738393875172645
승강기설치여부,0.06790418153709792
총면적,1.0645128769579375
면적17_26,-0.9017442196003296
면적26_38,-1.3342912231002038
면적38_46,-1.3032628355816347
면적46_51,-1.0518795695727732
면적51_59,-1.5476088321785562
면적59_74,-0.8868010646052058
면적74_85,-1.096319688064342
면적85_127,-0.5124425030917605
면적127_139,0.13056603639022665
임대보증금,0.21761482273084087
임대료,-0.2214766943765957
