feature,weight
intercept,-6.648076065268107e-16
총세대수,2.530309585319031
준공연도,0.08027143336712558
건물형태,-0.16624239070229682
난방방식,0.0937736996712522
승강기설치여부,0.058368889238492615
총면적,1.3537926816383534
면적17_26,-0.9168478215083407
면적26_38,-1.4467963158522257
면적38_46,-1.3000370547963647
면적46_51,-1.200817085549397
면적51_59,-1.7231796875592607
면적59_74,-0.8929480786166756
면적74_85,-1.1166192084762603
면적85_127,-0.5740682694427272
면적127_139,0.1983671013463877
임대보증금,0.04139469878454606
임대료,-0.1612584918113439
