feature,weight
intercept,8.691459523628673e-16
총세대수,2.875284515910236
준공연도,0.10420361174904577
건물형태,-0.143912784246919
난방방식,0.06411483435808765
승강기설치여부,0.06230250082135816
총면적,1.0986525482218612
면적17_26,-0.8894056753759969
면적26_38,-1.4358295855347065
면적38_46,-1.5210294583130788
면적46_51,-1.1210636006728802
면적51_59,-1.8558782068879232
면적59_74,-0.5882922487164032
면적74_85,-1.0064809109195194
면적85_127,-0.6287316134248022
면적127_139,0.23000176479658224
임대보증금,0.10467318275623091
임대료,-0.20495347889586177
