feature,weight
intercept,-1.0354642760155806e-15
총세대수,0.20418581024138477
준공연도,0.09447870262170555
건물형태,-0.18061161077436966
난방방식,0.02281656786278487
승강기설치여부,0.0791658557000486
총면적,1.2409427105435122
면적17_26,-0.18395486278359352
면적26_38,-0.29962680453291174
면적38_46,-0.2565548848060425
면적46_51,-0.26773806382625304
면적51_59,-0.35230339010588785
면적59_74,-0.18682546935567762
면적74_85,-0.2674901208552108
면적85_127,-0.32709125304272113
면적127_139,0.1652004684173167
임대보증금,0.22861532598111856
임대료,-0.2795515206042051
